Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Year
58;Isaac Bonga;SF;22;TOR;15;0;4.6;0.2;0.9;0.231;0.1;0.3;0.25;0.1;0.6;0.222;0.269;0.3;0.5;0.625;0.3;0.2;0.5;0.3;0.5;0.1;0.1;0.7;0.8;2021-2022
59;Devin Booker;SG;25;PHO;68;68;34.5;9.7;20.9;0.466;2.7;7.0;0.383;7.0;13.9;0.508;0.53;4.6;5.3;0.868;0.7;4.4;5.0;4.8;1.1;0.4;2.4;2.6;26.8;2021-2022
60;Brandon Boston Jr.;SG;20;LAC;51;0;14.9;2.5;6.4;0.385;0.7;2.2;0.306;1.8;4.2;0.425;0.437;1.2;1.4;0.819;0.3;1.8;2.2;1.0;0.5;0.3;0.6;0.8;6.7;2021-2022
61;Chris Boucher;PF;29;TOR;80;9;21.1;3.4;7.2;0.464;0.9;2.9;0.297;2.5;4.4;0.575;0.523;1.9;2.4;0.777;2.2;3.9;6.2;0.3;0.6;0.9;0.5;2.2;9.4;2021-2022
62;James Bouknight;SG;21;CHO;31;0;9.8;1.6;4.5;0.348;0.5;1.6;0.347;1.0;3.0;0.348;0.408;0.9;1.0;0.871;0.7;1.0;1.7;0.8;0.2;0.0;0.5;0.9;4.6;2021-2022
63;Avery Bradley;SG;31;LAL;62;45;22.7;2.4;5.6;0.423;1.3;3.4;0.39;1.1;2.3;0.471;0.54;0.3;0.3;0.889;0.5;1.7;2.2;0.8;0.9;0.1;0.6;1.9;6.4;2021-2022
64;Tony Bradley;C;24;CHI;55;7;10.0;1.3;2.2;0.585;0.0;0.0;0.0;1.3;2.2;0.585;0.585;0.3;0.5;0.655;1.2;2.2;3.4;0.5;0.2;0.6;0.6;1.1;3.0;2021-2022
65;Ignas Brazdeikis;SF;23;ORL;42;1;12.8;1.9;4.5;0.431;0.6;2.1;0.31;1.3;2.4;0.535;0.503;0.5;0.8;0.656;0.5;1.2;1.7;0.9;0.2;0.1;0.4;1.1;5.0;2021-2022
66;Mikal Bridges;SF;25;PHO;82;82;34.8;5.6;10.5;0.534;1.4;3.8;0.369;4.2;6.7;0.628;0.601;1.6;1.9;0.834;0.9;3.3;4.2;2.3;1.2;0.4;0.8;1.8;14.2;2021-2022
67;Miles Bridges;PF;23;CHO;80;80;35.5;7.5;15.2;0.491;1.9;5.8;0.331;5.5;9.4;0.59;0.554;3.3;4.2;0.802;1.1;5.9;7.0;3.8;0.9;0.8;1.9;2.4;20.2;2021-2022
