Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Year
305;Braxton Key;SF;24;PHI;2;0;3.0;0.5;1.0;0.5;0.0;0.5;0.0;0.5;0.5;1.0;0.5;0.0;0.0;0.0;0.5;0.5;1.0;0.5;0.5;0.0;1.0;0.5;1.0;2021-2022
305;Braxton Key;SF;24;DET;9;0;21.2;3.6;7.8;0.457;0.7;2.2;0.3;2.9;5.6;0.52;0.5;0.8;1.4;0.538;1.3;4.0;5.3;1.1;1.0;1.2;1.0;2.8;8.6;2021-2022
306;George King;SF;28;DAL;4;0;4.8;0.0;1.3;0.0;0.0;1.0;0.0;0.0;0.3;0.0;0.0;0.3;0.5;0.5;0.0;1.3;1.3;0.0;0.0;0.0;0.3;1.0;0.3;2021-2022
307;Louis King;SF;22;SAC;10;0;10.4;1.5;4.7;0.319;0.8;2.7;0.296;0.7;2.0;0.35;0.404;0.7;1.0;0.7;0.0;1.2;1.2;0.9;0.2;0.1;0.0;1.4;4.5;2021-2022
308;Corey Kispert;SF;22;WAS;77;36;23.4;3.0;6.7;0.455;1.5;4.2;0.35;1.6;2.5;0.629;0.564;0.7;0.8;0.871;0.7;2.0;2.7;1.1;0.5;0.3;0.6;1.2;8.2;2021-2022
309;Maxi Kleber;PF;30;DAL;59;21;24.6;2.4;6.0;0.398;1.4;4.3;0.325;1.0;1.7;0.586;0.516;0.8;1.1;0.708;1.2;4.7;5.9;1.2;0.5;1.0;0.8;2.3;7.0;2021-2022
310;Brandon Knight;PG;30;DAL;5;0;13.0;2.0;5.0;0.4;0.8;3.4;0.235;1.2;1.6;0.75;0.48;1.6;1.6;1.0;0.0;1.6;1.6;1.6;0.2;0.0;0.8;1.0;6.4;2021-2022
311;Nathan Knight;PF;24;MIN;37;2;7.2;1.2;2.4;0.511;0.1;0.4;0.308;1.1;2.0;0.547;0.534;1.2;1.6;0.733;0.9;1.4;2.3;0.6;0.2;0.2;0.5;1.1;3.7;2021-2022
312;Kevin Knox;SF;22;TOT;30;0;7.4;1.0;2.8;0.365;0.5;1.8;0.278;0.5;1.0;0.516;0.453;0.5;0.7;0.727;0.5;1.0;1.5;0.3;0.1;0.1;0.2;0.6;3.1;2021-2022
312;Kevin Knox;SF;22;NYK;13;0;8.5;1.2;3.1;0.375;0.8;2.2;0.357;0.4;0.9;0.417;0.5;0.5;0.8;0.7;0.6;1.1;1.7;0.2;0.2;0.1;0.4;0.4;3.6;2021-2022
312;Kevin Knox;SF;22;ATL;17;0;6.5;0.9;2.6;0.356;0.3;1.5;0.192;0.6;1.1;0.579;0.411;0.5;0.7;0.75;0.4;0.9;1.3;0.4;0.1;0.1;0.1;0.8;2.7;2021-2022
313;John Konchar;SG;25;MEM;72;7;17.9;1.9;3.6;0.515;0.7;1.8;0.413;1.2;1.9;0.61;0.615;0.4;0.7;0.551;1.2;3.4;4.6;1.5;0.6;0.3;0.4;1.3;4.8;2021-2022
314;Furkan Korkmaz;SG;24;PHI;67;19;21.1;2.7;7.0;0.387;1.1;4.0;0.289;1.6;3.0;0.515;0.469;1.0;1.3;0.81;0.3;2.3;2.6;1.9;0.5;0.1;0.7;0.9;7.6;2021-2022
315;Luke Kornet;C;26;TOT;15;0;6.9;0.9;1.8;0.481;0.0;0.3;0.0;0.9;1.5;0.591;0.481;0.3;0.4;0.667;0.9;1.1;1.9;0.6;0.2;0.2;0.0;0.6;2.0;2021-2022
315;Luke Kornet;C;26;CLE;2;0;7.5;0.5;2.5;0.2;0.0;0.5;0.0;0.5;2.0;0.25;0.2;1.0;1.5;0.667;1.0;0.5;1.5;0.5;0.0;0.5;0.0;0.5;2.0;2021-2022
315;Luke Kornet;C;26;MIL;1;0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;2021-2022
315;Luke Kornet;C;26;BOS;12;0;7.1;1.0;1.8;0.571;0.0;0.3;0.0;1.0;1.4;0.706;0.571;0.2;0.3;0.667;0.8;1.3;2.1;0.7;0.3;0.2;0.0;0.6;2.2;2021-2022
316;Vit Krejci;SG;21;OKC;30;8;23.0;2.3;5.6;0.407;1.1;3.3;0.327;1.2;2.3;0.522;0.503;0.6;0.7;0.864;0.6;2.8;3.4;1.9;0.6;0.3;1.0;2.2;6.2;2021-2022
317;Arnoldas Kulboka;SF;24;CHO;2;0;2.5;0.0;0.5;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;2021-2022
318;Jonathan Kuminga;SF;19;GSW;70;12;16.9;3.4;6.6;0.513;0.7;2.1;0.336;2.7;4.4;0.598;0.567;1.9;2.7;0.684;0.8;2.6;3.3;0.9;0.4;0.3;1.1;2.1;9.3;2021-2022
319;Kyle Kuzma;PF;26;WAS;66;66;33.4;6.4;14.2;0.452;1.9;5.7;0.341;4.5;8.5;0.526;0.52;2.4;3.3;0.712;1.1;7.4;8.5;3.5;0.6;0.9;2.6;1.9;17.1;2021-2022
320;Anthony Lamb;SF;24;SAS;2;0;4.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5;1.0;0.0;0.0;0.0;0.0;0.0;2021-2022
321;Jeremy Lamb;SG-SF;29;TOT;56;0;16.7;2.4;6.2;0.383;1.0;3.0;0.324;1.4;3.2;0.441;0.463;1.6;1.9;0.84;0.5;2.3;2.8;1.4;0.6;0.4;0.7;1.1;7.3;2021-2022
321;Jeremy Lamb;SF;29;IND;39;0;15.7;2.2;5.8;0.373;1.0;3.0;0.333;1.2;2.8;0.414;0.458;1.7;2.1;0.838;0.4;2.0;2.4;1.3;0.6;0.4;0.6;1.1;7.1;2021-2022
321;Jeremy Lamb;SG;29;SAC;17;0;18.9;2.8;7.0;0.403;0.9;3.1;0.302;1.9;3.9;0.485;0.471;1.3;1.5;0.846;0.6;2.9;3.5;1.8;0.5;0.5;0.8;0.9;7.9;2021-2022
322;Jock Landale;C;26;SAS;54;1;10.9;1.9;3.8;0.495;0.5;1.6;0.326;1.3;2.1;0.626;0.566;0.6;0.8;0.829;1.2;1.4;2.6;0.8;0.2;0.3;0.6;1.0;4.9;2021-2022
323;Romeo Langford;SG;22;TOT;48;5;16.1;1.7;4.0;0.435;0.6;1.8;0.341;1.1;2.2;0.509;0.51;0.5;0.9;0.548;0.6;1.6;2.3;0.4;0.5;0.3;0.3;1.0;4.5;2021-2022
323;Romeo Langford;SG;22;BOS;44;5;16.5;1.8;4.2;0.429;0.7;1.9;0.349;1.1;2.3;0.495;0.508;0.5;0.8;0.588;0.7;1.7;2.4;0.4;0.5;0.4;0.4;1.0;4.7;2021-2022
323;Romeo Langford;SG;22;SAS;4;0;10.8;1.0;1.8;0.571;0.0;0.5;0.0;1.0;1.3;0.8;0.571;0.8;2.0;0.375;0.0;1.0;1.0;0.5;0.3;0.0;0.0;0.3;2.8;2021-2022
324;Zach LaVine;SF;26;CHI;67;67;34.7;8.4;17.7;0.476;2.8;7.1;0.389;5.7;10.6;0.534;0.554;4.8;5.6;0.853;0.3;4.3;4.6;4.5;0.6;0.3;2.6;1.8;24.4;2021-2022
325;Jake Layman;SF;27;MIN;34;1;6.8;0.9;2.1;0.411;0.2;1.0;0.229;0.6;1.1;0.579;0.466;0.4;0.5;0.722;0.2;0.9;1.1;0.3;0.2;0.1;0.3;0.4;2.4;2021-2022
326;Damion Lee;SG;29;GSW;63;5;19.9;2.7;6.1;0.441;1.0;3.0;0.337;1.7;3.1;0.541;0.523;1.0;1.2;0.88;0.4;2.8;3.2;1.0;0.6;0.1;0.6;1.5;7.4;2021-2022
327;Saben Lee;PG;22;DET;37;0;16.3;1.9;4.8;0.39;0.4;1.6;0.233;1.5;3.2;0.47;0.429;1.5;1.9;0.789;0.5;1.9;2.4;2.9;1.0;0.3;1.0;1.2;5.6;2021-2022
328;Alex Len;C;28;SAC;39;10;15.9;2.4;4.5;0.534;0.2;0.5;0.286;2.3;4.0;0.568;0.551;1.1;1.6;0.651;1.3;2.8;4.1;1.2;0.3;0.6;1.1;2.6;6.0;2021-2022
329;Caris LeVert;SG;27;TOT;58;49;30.7;6.5;14.7;0.444;1.4;4.4;0.32;5.1;10.3;0.497;0.492;2.5;3.3;0.756;0.7;2.9;3.7;4.3;0.9;0.4;1.9;2.3;17.0;2021-2022
329;Caris LeVert;SG;27;IND;39;39;31.1;7.1;15.9;0.447;1.6;4.8;0.323;5.6;11.1;0.501;0.496;2.8;3.7;0.76;0.8;3.1;3.8;4.4;0.9;0.5;1.9;2.3;18.7;2021-2022
329;Caris LeVert;SG;27;CLE;19;10;29.8;5.3;12.2;0.435;1.1;3.5;0.313;4.2;8.7;0.485;0.481;1.8;2.5;0.745;0.7;2.7;3.4;3.9;0.8;0.3;1.7;2.1;13.6;2021-2022
330;Kira Lewis Jr.;PG;20;NOP;24;0;14.2;2.5;6.1;0.404;0.5;2.4;0.224;1.9;3.7;0.523;0.449;0.4;0.5;0.833;0.4;1.3;1.6;2.0;0.5;0.0;1.1;0.7;5.9;2021-2022
331;Scottie Lewis;SG;21;CHO;2;0;3.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;1.0;0.5;0.0;0.0;0.0;0.5;0.5;0.0;0.0;0.0;0.5;2021-2022
332;Damian Lillard;PG;31;POR;29;29;36.4;7.7;19.0;0.402;3.2;9.8;0.324;4.5;9.2;0.485;0.486;5.5;6.2;0.878;0.4;3.7;4.1;7.3;0.6;0.4;2.9;1.3;24.0;2021-2022
333;Nassir Little;SF;21;POR;42;23;25.9;3.5;7.5;0.46;1.2;3.7;0.331;2.2;3.8;0.584;0.541;1.6;2.2;0.734;1.4;4.2;5.6;1.3;0.6;0.9;1.0;2.0;9.8;2021-2022
334;Isaiah Livers;SF;23;DET;19;5;20.2;2.2;4.7;0.456;1.4;3.4;0.422;0.7;1.4;0.538;0.606;0.6;0.7;0.857;0.8;2.2;3.0;1.1;0.7;0.4;0.8;1.9;6.4;2021-2022
335;Kevon Looney;C;25;GSW;82;80;21.1;2.5;4.4;0.571;0.0;0.0;0.0;2.5;4.4;0.573;0.571;0.9;1.5;0.6;2.5;4.7;7.3;2.0;0.6;0.6;0.8;2.6;6.0;2021-2022
336;Brook Lopez;C;33;MIL;13;11;22.9;4.7;10.1;0.466;1.5;4.1;0.358;3.2;6.0;0.538;0.538;1.5;1.8;0.87;1.5;2.6;4.1;0.5;0.6;1.2;0.9;2.6;12.4;2021-2022
337;Robin Lopez;C;33;ORL;36;9;17.0;3.1;5.5;0.553;0.1;0.2;0.333;3.0;5.4;0.56;0.558;0.9;1.5;0.593;1.9;1.6;3.5;1.5;0.1;0.5;1.2;1.9;7.1;2021-2022
338;Didi Louzada;SG-SF;22;TOT;9;1;14.3;1.3;3.7;0.364;1.0;2.6;0.391;0.3;1.1;0.3;0.5;0.2;0.2;1.0;0.6;1.3;1.9;0.6;0.2;0.2;0.6;1.4;3.9;2021-2022
338;Didi Louzada;SF;22;NOP;2;0;3.5;0.0;1.5;0.0;0.0;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.5;0.0;0.0;0.0;0.0;0.0;2021-2022
338;Didi Louzada;SG;22;POR;7;1;17.4;1.7;4.3;0.4;1.3;2.9;0.45;0.4;1.4;0.3;0.55;0.3;0.3;1.0;0.4;1.7;2.1;0.6;0.3;0.3;0.7;1.9;5.0;2021-2022
339;Kevin Love;PF;33;CLE;74;4;22.5;4.4;10.3;0.43;2.5;6.4;0.392;1.9;3.8;0.493;0.553;2.2;2.7;0.838;1.2;6.1;7.2;2.2;0.4;0.2;1.3;1.4;13.6;2021-2022
340;Kyle Lowry;PG;35;MIA;63;63;33.9;4.4;10.0;0.44;2.3;6.1;0.377;2.1;3.9;0.539;0.555;2.3;2.8;0.851;0.5;4.0;4.5;7.5;1.1;0.3;2.7;2.8;13.4;2021-2022
341;Gabriel Lundberg;SG;27;PHO;4;0;11.0;1.3;4.8;0.263;0.8;2.0;0.375;0.5;2.8;0.182;0.342;0.0;0.0;0.0;0.5;1.3;1.8;2.8;0.8;0.0;0.8;1.8;3.3;2021-2022
342;Timothé Luwawu-Cabarrot;SF;26;ATL;52;18;13.2;1.4;3.6;0.398;0.8;2.3;0.361;0.6;1.2;0.469;0.516;0.7;0.8;0.854;0.3;1.3;1.6;0.8;0.3;0.1;0.4;1.5;4.4;2021-2022
343;Trey Lyles;PF;26;TOT;75;23;20.5;3.5;7.5;0.466;0.9;2.8;0.321;2.6;4.7;0.552;0.526;2.6;3.2;0.802;1.2;3.9;5.1;1.2;0.4;0.4;1.0;1.6;10.5;2021-2022
343;Trey Lyles;PF;26;DET;51;3;19.4;3.4;7.5;0.456;0.9;2.9;0.301;2.6;4.7;0.55;0.513;2.7;3.5;0.784;1.2;3.6;4.8;1.1;0.4;0.5;1.1;1.8;10.4;2021-2022
343;Trey Lyles;PF;26;SAC;24;20;22.8;3.6;7.4;0.489;1.0;2.6;0.365;2.7;4.8;0.557;0.553;2.4;2.8;0.851;1.2;4.4;5.6;1.3;0.3;0.3;0.8;1.3;10.6;2021-2022
344;Théo Maledon;PG;20;OKC;51;7;17.8;2.3;6.2;0.375;0.9;2.9;0.293;1.5;3.3;0.449;0.445;1.5;2.0;0.79;0.4;2.2;2.6;2.2;0.6;0.2;1.3;1.3;7.1;2021-2022
345;Sandro Mamukelashvili;PF;22;MIL;41;3;9.9;1.4;2.8;0.496;0.5;1.3;0.423;0.9;1.5;0.556;0.591;0.4;0.5;0.818;0.9;1.1;2.0;0.5;0.2;0.2;0.4;0.7;3.8;2021-2022
346;Terance Mann;SF;25;LAC;81;33;28.6;4.1;8.5;0.484;0.9;2.6;0.365;3.2;6.0;0.535;0.539;1.6;2.0;0.78;1.3;4.0;5.2;2.6;0.7;0.3;1.0;2.2;10.8;2021-2022
347;Tre Mann;PG;20;OKC;60;26;22.8;3.9;9.8;0.393;1.6;4.5;0.36;2.2;5.3;0.421;0.476;1.1;1.4;0.793;0.4;2.4;2.9;1.5;0.8;0.2;1.2;1.7;10.4;2021-2022
348;Boban Marjanovi?;C;33;DAL;23;0;5.6;1.8;3.0;0.6;0.0;0.2;0.25;1.8;2.9;0.621;0.607;0.6;1.0;0.591;0.3;1.3;1.7;0.1;0.0;0.1;0.7;1.0;4.3;2021-2022
349;Lauri Markkanen;PF;24;CLE;61;61;30.8;5.1;11.5;0.445;2.2;6.2;0.358;2.9;5.3;0.548;0.542;2.3;2.6;0.868;1.0;4.7;5.7;1.3;0.7;0.5;0.9;2.1;14.8;2021-2022
350;Naji Marshall;SF;24;NOP;55;4;13.4;2.0;4.9;0.405;0.4;1.9;0.2;1.6;3.0;0.537;0.444;1.3;1.7;0.796;0.7;1.9;2.6;1.1;0.6;0.1;0.8;1.3;5.7;2021-2022
351;Caleb Martin;SF;26;MIA;60;12;22.9;3.5;6.8;0.507;1.1;2.6;0.413;2.4;4.3;0.565;0.585;1.2;1.6;0.763;1.2;2.7;3.8;1.1;1.0;0.5;0.9;1.7;9.2;2021-2022
352;Cody Martin;SF;26;CHO;71;11;26.3;2.9;6.0;0.482;0.9;2.2;0.384;2.0;3.7;0.542;0.554;1.1;1.5;0.701;1.2;2.9;4.0;2.5;1.2;0.5;0.9;1.6;7.7;2021-2022
353;Kelan Martin;SF;26;TOT;30;1;15.0;2.3;5.7;0.409;0.7;2.5;0.293;1.6;3.2;0.5;0.474;0.3;0.4;0.692;0.6;1.3;1.8;0.7;0.4;0.3;0.5;1.2;5.7;2021-2022
353;Kelan Martin;SF;26;IND;27;1;16.4;2.6;6.2;0.417;0.8;2.7;0.297;1.8;3.5;0.511;0.482;0.3;0.5;0.692;0.6;1.4;2.0;0.8;0.5;0.3;0.5;1.3;6.3;2021-2022
353;Kelan Martin;SF;26;BOS;3;0;2.0;0.0;1.0;0.0;0.0;0.3;0.0;0.0;0.7;0.0;0.0;0.0;0.0;0.0;0.3;0.3;0.7;0.0;0.0;0.0;0.0;0.0;0.0;2021-2022
354;Kenyon Martin Jr.;SF;21;HOU;79;2;21.0;3.5;6.6;0.533;0.8;2.1;0.357;2.8;4.5;0.617;0.591;1.0;1.6;0.634;1.0;2.7;3.8;1.3;0.4;0.5;0.8;1.4;8.8;2021-2022
355;Garrison Mathews;SG;25;HOU;65;33;26.3;2.8;7.1;0.399;2.1;5.9;0.36;0.7;1.2;0.6;0.55;2.2;2.8;0.794;0.5;2.4;2.9;1.0;0.9;0.4;0.6;2.6;10.0;2021-2022
356;Dakota Mathias;SG;26;MEM;6;0;2.7;0.3;1.0;0.333;0.3;1.0;0.333;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.3;0.3;0.2;0.2;0.0;0.0;0.2;1.0;2021-2022
357;Wesley Matthews;SG;35;MIL;49;14;20.4;1.8;4.5;0.395;1.1;3.2;0.338;0.7;1.3;0.54;0.516;0.4;0.6;0.786;0.6;1.3;1.9;0.7;0.5;0.2;0.4;1.8;5.1;2021-2022
358;Tyrese Maxey;PG;21;PHI;75;74;35.3;6.4;13.3;0.485;1.8;4.1;0.427;4.7;9.1;0.512;0.552;2.8;3.3;0.866;0.3;2.9;3.2;4.3;0.7;0.4;1.2;2.1;17.5;2021-2022
359;Skylar Mays;SG;24;ATL;28;5;7.9;1.1;2.3;0.5;0.3;0.9;0.32;0.9;1.4;0.615;0.563;0.3;0.3;0.889;0.2;0.7;0.9;0.6;0.3;0.0;0.4;0.3;2.9;2021-2022
360;Miles McBride;PG;21;NYK;40;2;9.3;0.8;2.7;0.296;0.4;1.7;0.25;0.4;1.0;0.375;0.375;0.2;0.3;0.667;0.1;1.0;1.1;1.0;0.4;0.0;0.1;1.1;2.2;2021-2022
361;Mac McClung;SG-PG;23;TOT;2;0;12.5;1.5;3.0;0.5;0.5;1.5;0.333;1.0;1.5;0.667;0.583;0.5;0.5;1.0;0.0;1.5;1.5;0.5;0.5;0.5;1.5;2.5;4.0;2021-2022
361;Mac McClung;PG;23;CHI;1;0;3.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;2021-2022
361;Mac McClung;SG;23;LAL;1;0;22.0;2.0;5.0;0.4;1.0;3.0;0.333;1.0;2.0;0.5;0.5;1.0;1.0;1.0;0.0;3.0;3.0;1.0;1.0;1.0;2.0;5.0;6.0;2021-2022
362;CJ McCollum;SG;30;TOT;62;62;34.6;8.6;18.8;0.46;2.9;7.6;0.388;5.7;11.2;0.509;0.539;1.9;2.7;0.682;0.9;3.5;4.3;5.1;1.1;0.4;2.0;2.0;22.1;2021-2022
362;CJ McCollum;SG;30;POR;36;36;35.2;8.1;18.5;0.436;3.1;8.0;0.384;5.0;10.4;0.476;0.52;1.3;1.9;0.706;0.9;3.3;4.3;4.5;1.0;0.6;1.9;2.1;20.5;2021-2022
362;CJ McCollum;SG;30;NOP;26;26;33.8;9.5;19.2;0.493;2.7;6.9;0.394;6.7;12.3;0.549;0.564;2.6;3.9;0.667;0.7;3.7;4.5;5.8;1.3;0.0;2.2;1.7;24.3;2021-2022
363;T.J. McConnell;PG;29;IND;27;8;24.1;3.7;7.7;0.481;0.4;1.2;0.303;3.3;6.5;0.514;0.505;0.7;0.9;0.826;0.7;2.6;3.3;4.9;1.1;0.4;1.1;2.0;8.5;2021-2022
364;Jaden McDaniels;PF;21;MIN;70;31;25.8;3.6;7.9;0.46;1.1;3.6;0.317;2.5;4.3;0.579;0.532;0.8;1.0;0.803;1.1;3.1;4.2;1.1;0.7;0.8;1.1;3.2;9.2;2021-2022
365;Jalen McDaniels;SF;24;CHO;55;2;16.3;2.2;4.6;0.484;0.7;2.0;0.38;1.5;2.7;0.562;0.565;1.0;1.3;0.736;0.7;2.4;3.1;1.1;0.5;0.4;0.7;1.7;6.2;2021-2022
366;Doug McDermott;PF;30;SAS;51;51;24.0;4.2;9.1;0.462;2.1;5.0;0.422;2.1;4.1;0.512;0.578;0.8;1.0;0.784;0.4;1.9;2.3;1.3;0.3;0.1;0.8;1.5;11.3;2021-2022
367;JaVale McGee;C;34;PHO;74;17;15.8;3.9;6.2;0.629;0.0;0.1;0.222;3.9;6.1;0.637;0.631;1.4;2.0;0.699;2.2;4.5;6.7;0.6;0.3;1.1;1.3;2.4;9.2;2021-2022
368;Cameron McGriff;SF;24;POR;3;0;15.3;1.7;4.7;0.357;0.7;2.0;0.333;1.0;2.7;0.375;0.429;0.7;0.7;1.0;2.0;3.0;5.0;1.0;0.0;0.3;0.0;2.3;4.7;2021-2022
369;Rodney McGruder;SG;30;DET;51;2;14.8;1.9;4.4;0.436;1.1;2.9;0.397;0.8;1.5;0.506;0.564;0.4;0.5;0.731;0.6;1.6;2.2;0.9;0.4;0.1;0.5;1.1;5.4;2021-2022
370;Alfonzo McKinnie;SF;29;CHI;17;3;12.1;1.4;3.6;0.393;0.5;1.6;0.333;0.9;2.0;0.441;0.467;0.1;0.5;0.25;0.8;1.2;1.9;0.3;0.1;0.2;0.4;1.5;3.5;2021-2022
371;JaQuori McLaughlin;PG;24;DAL;4;0;2.8;0.0;0.5;0.0;0.0;0.3;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.3;0.0;2021-2022
372;Jordan McLaughlin;PG;25;MIN;62;3;14.5;1.4;3.2;0.44;0.4;1.4;0.318;1.0;1.9;0.53;0.508;0.5;0.6;0.75;0.4;1.2;1.5;2.9;0.9;0.2;0.6;0.9;3.8;2021-2022
373;Ben McLemore;SG;28;POR;64;6;20.1;3.4;8.4;0.401;2.4;6.5;0.362;1.0;1.9;0.533;0.541;1.1;1.4;0.818;0.2;1.4;1.6;0.9;0.6;0.2;0.9;1.6;10.2;2021-2022
374;De'Anthony Melton;SG;23;MEM;73;15;22.7;3.8;9.5;0.404;1.9;5.1;0.374;1.9;4.4;0.44;0.504;1.2;1.6;0.75;0.9;3.6;4.5;2.7;1.4;0.5;1.5;1.8;10.8;2021-2022
375;Sam Merrill;SG;25;MEM;6;0;9.7;1.3;4.0;0.333;1.2;3.8;0.304;0.2;0.2;1.0;0.479;0.3;0.7;0.5;0.2;1.0;1.2;0.7;0.0;0.0;0.3;0.5;4.2;2021-2022
376;Chimezie Metu;C;24;SAC;60;20;21.3;3.4;7.5;0.452;1.0;3.1;0.306;2.4;4.4;0.555;0.516;1.2;1.5;0.78;0.6;5.0;5.6;1.0;0.9;0.5;1.0;1.6;8.9;2021-2022
377;Khris Middleton;SF;30;MIL;66;66;32.4;6.8;15.5;0.443;2.5;6.6;0.373;4.4;8.9;0.494;0.522;3.9;4.4;0.89;0.6;4.8;5.4;5.4;1.2;0.3;2.9;2.4;20.1;2021-2022
378;C.J. Miles;SG;34;BOS;1;0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2021-2022
379;Patty Mills;PG;33;BRK;81;48;29.0;4.0;9.8;0.408;2.8;7.0;0.4;1.2;2.8;0.429;0.551;0.6;0.7;0.814;0.2;1.7;1.9;2.3;0.6;0.2;0.9;1.4;11.4;2021-2022
380;Paul Millsap;PF;36;TOT;33;1;11.4;1.4;3.5;0.391;0.2;1.1;0.229;1.1;2.4;0.463;0.426;0.5;0.7;0.708;1.2;2.2;3.5;0.9;0.3;0.4;0.6;2.0;3.5;2021-2022
380;Paul Millsap;PF;36;BRK;24;0;11.3;1.3;3.5;0.376;0.3;1.1;0.222;1.1;2.4;0.448;0.412;0.5;0.7;0.706;1.2;2.5;3.7;1.0;0.2;0.5;0.5;2.0;3.4;2021-2022
380;Paul Millsap;PF;36;PHI;9;1;11.8;1.4;3.3;0.433;0.2;0.9;0.25;1.2;2.4;0.5;0.467;0.6;0.8;0.714;1.3;1.4;2.8;0.6;0.6;0.2;0.9;2.1;3.7;2021-2022
381;Shake Milton;PG;25;PHI;55;6;21.4;3.1;7.3;0.429;0.8;2.4;0.323;2.4;4.9;0.481;0.483;1.1;1.3;0.836;0.5;2.0;2.6;2.5;0.5;0.3;0.8;1.8;8.2;2021-2022
382;Davion Mitchell;PG;23;SAC;75;19;27.7;4.7;11.2;0.418;1.3;4.3;0.316;3.3;7.0;0.48;0.477;0.7;1.1;0.659;0.4;1.8;2.2;4.2;0.7;0.3;1.5;1.9;11.5;2021-2022
383;Donovan Mitchell;SG;25;UTA;67;67;33.8;9.2;20.5;0.448;3.5;9.8;0.355;5.7;10.8;0.533;0.533;4.0;4.7;0.853;0.8;3.4;4.2;5.3;1.5;0.2;3.0;2.4;25.9;2021-2022
384;Evan Mobley;PF;20;CLE;69;69;33.8;6.1;12.0;0.508;0.3;1.3;0.25;5.8;10.7;0.541;0.522;2.4;3.7;0.663;2.1;6.2;8.3;2.5;0.8;1.7;1.9;2.1;15.0;2021-2022
385;Malik Monk;SG;23;LAL;76;37;28.1;5.1;10.9;0.473;2.3;5.8;0.391;2.9;5.1;0.568;0.578;1.2;1.5;0.795;0.5;2.9;3.4;2.9;0.8;0.4;1.6;1.8;13.8;2021-2022
386;Greg Monroe;C;31;TOT;14;0;13.9;2.3;4.1;0.561;0.0;0.0;0.0;2.3;4.1;0.561;0.561;0.9;1.6;0.522;2.1;2.4;4.6;1.6;0.6;0.7;0.9;1.7;5.4;2021-2022
386;Greg Monroe;C;31;MIN;4;0;20.3;3.3;5.5;0.591;0.0;0.0;0.0;3.3;5.5;0.591;0.591;0.8;1.8;0.429;1.5;4.5;6.0;4.0;1.0;1.5;1.8;2.3;7.3;2021-2022
386;Greg Monroe;C;31;WAS;2;0;9.0;2.0;4.0;0.5;0.0;0.0;0.0;2.0;4.0;0.5;0.5;0.0;0.0;0.0;3.5;1.5;5.0;0.5;0.5;0.5;1.0;1.0;4.0;2021-2022
386;Greg Monroe;C;31;MIL;5;0;14.0;2.2;4.4;0.5;0.0;0.0;0.0;2.2;4.4;0.5;0.5;1.0;1.8;0.556;2.2;2.0;4.2;0.4;0.6;0.4;0.6;1.4;5.4;2021-2022
386;Greg Monroe;C;31;UTA;3;0;8.7;1.3;1.7;0.8;0.0;0.0;0.0;1.3;1.7;0.8;0.8;1.3;2.3;0.571;2.0;1.0;3.0;1.0;0.0;0.3;0.0;2.0;4.0;2021-2022
387;Moses Moody;SG;19;GSW;52;11;11.7;1.5;3.5;0.437;0.8;2.1;0.364;0.8;1.4;0.548;0.546;0.5;0.7;0.778;0.3;1.2;1.5;0.4;0.1;0.2;0.3;0.8;4.4;2021-2022
388;Xavier Moon;SG;27;LAC;10;0;13.7;2.5;5.1;0.49;0.5;1.4;0.357;2.0;3.7;0.541;0.539;0.3;0.5;0.6;0.2;1.2;1.4;2.4;0.7;0.3;0.6;0.9;5.8;2021-2022
389;Matt Mooney;SG;24;NYK;1;0;2.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;2021-2022
390;Ja Morant;PG;22;MEM;57;57;33.1;10.2;20.6;0.493;1.5;4.5;0.344;8.6;16.2;0.534;0.53;5.5;7.3;0.761;1.4;4.4;5.7;6.7;1.2;0.4;3.4;1.5;27.4;2021-2022
